TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES COMMON NAME;SUBSPECIES SCIENTIFIC NAME
8288;slash;avibase-0036B298;Common/Long-legged Buzzard;Buteo buteo/rufinus        ;                                ;                                  
31033;form;avibase-008B89FA;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (lutea/fl;Motacilla flava lutea/flavissima  
24331;slash;avibase-008C4FA7;Common/Iberian Chiffchaff ;Phylloscopus collybita/iber;                                ;                                  
6419;species;avibase-00DA9D91;Common Gull               ;Larus canus                ;                                ;                                  
11808;spuh;avibase-01B04C17;large falcon sp.          ;Falco sp. (large falcon sp.;                                ;                                  
19578;species;avibase-022798AB;Black-crowned Tchagra     ;Tchagra senegalus          ;                                ;                                  
19579;issf;avibase-02972D84;Black-crowned Tchagra     ;Tchagra senegalus          ;Black-crowned Tchagra (Hooded)  ;Tchagra senegalus cucullatus      
1550;domestic;avibase-02F904D5;Red Junglefowl            ;Gallus gallus              ;Red Junglefowl (Domestic type)  ;Gallus gallus (Domestic type)     
23551;species;avibase-031684BA;Plain Martin              ;Riparia paludicola         ;                                ;                                  
6661;issf;avibase-04B49AE7;Sandwich Tern             ;Thalasseus sandvicensis    ;Sandwich Tern (Eurasian)        ;Thalasseus sandvicensis sandvicens
6404;species;avibase-052BFA8A;Mediterranean Gull        ;Ichthyaetus melanocephalus ;                                ;                                  
6955;species;avibase-058773E4;Bulwer's Petrel           ;Bulweria bulwerii          ;                                ;                                  
7811;species;avibase-05F11441;Bonelli's Eagle           ;Aquila fasciata            ;                                ;                                  
2852;species;avibase-06B41945;Black-bellied Sandgrouse  ;Pterocles orientalis       ;                                ;                                  
6007;species;avibase-06B9BD24;Sanderling                ;Calidris alba              ;                                ;                                  
8086;species;avibase-06D9A2C8;Black Kite                ;Milvus migrans             ;                                ;                                  
28979;species;avibase-06DD9D95;Common Redstart           ;Phoenicurus phoenicurus    ;                                ;                                  
6283;spuh;avibase-070E73F9;jaeger/skua sp.           ;Stercorarius sp.           ;                                ;                                  
5459;spuh;avibase-0746FB35;moorhen/coot/gallinule sp.;Gallinula/Fulica/Porphyrio ;                                ;                                  
623;species;avibase-0783A7EA;Ring-necked Duck          ;Aythya collaris            ;                                ;                                  
29167;species;avibase-078BC0ED;Desert Wheatear           ;Oenanthe deserti           ;                                ;                                  
508;domestic;avibase-07FFC1E5;Mallard                   ;Anas platyrhynchos         ;Mallard (Domestic type)         ;Anas platyrhynchos (Domestic type)
29248;spuh;avibase-07FFFF1F;wheatear sp.              ;Oenanthe sp.               ;                                ;                                  
6125;species;avibase-0895DD84;Spotted Redshank          ;Tringa erythropus          ;                                ;                                  
604;spuh;avibase-093E93E1;teal sp.                  ;Anatidae sp. (teal sp.)    ;                                ;                                  
1889;issf;avibase-09790D38;Common Wood-Pigeon        ;Columba palumbus           ;Common Wood-Pigeon (White-necked;Columba palumbus [palumbus Group] 
31216;species;avibase-0A3FA185;Water Pipit               ;Anthus spinoletta          ;                                ;                                  
26683;issf;avibase-0B7E7861;Eurasian Wren             ;Troglodytes troglodytes    ;Eurasian Wren (Eurasian)        ;Troglodytes troglodytes [troglodyt
24269;species;avibase-0C120038;Yellow-browed Warbler     ;Phylloscopus inornatus     ;                                ;                                  
2033;species;avibase-0C1EFC9B;Eurasian Collared-Dove    ;Streptopelia decaocto      ;                                ;                                  
11811;spuh;avibase-0C24147B;diurnal raptor sp.        ;Accipitriformes/Falconiform;                                ;                                  
6471;issf;avibase-0CFFDCF7;Lesser Black-backed Gull  ;Larus fuscus               ;Lesser Black-backed Gull (interm;Larus fuscus intermedius          
7300;issf;avibase-0DB2F2AE;Gray Heron                ;Ardea cinerea              ;Gray Heron (Gray)               ;Ardea cinerea cinerea/jouyi       
21130;spuh;avibase-0E2764BF;raven sp.                 ;Corvus sp. (raven sp.)     ;                                ;                                  
29041;species;avibase-0EA8F8B9;European Stonechat        ;Saxicola rubicola          ;                                ;                                  
7250;species;avibase-0F42F11A;Great Bittern             ;Botaurus stellaris         ;                                ;                                  
1771;species;avibase-0F9B5174;Greater Flamingo          ;Phoenicopterus roseus      ;                                ;                                  
916;species;avibase-1044B438;Helmeted Guineafowl       ;Numida meleagris           ;                                ;                                  
6600;species;avibase-115AF02D;Black Tern                ;Chlidonias niger           ;                                ;                                  
564;issf;avibase-115F04DD;Green-winged Teal         ;Anas crecca                ;Green-winged Teal (Eurasian)    ;Anas crecca crecca                
12477;species;avibase-11783075;Monk Parakeet             ;Myiopsitta monachus        ;                                ;                                  
24327;species;avibase-12EE678E;Iberian Chiffchaff        ;Phylloscopus ibericus      ;                                ;                                  
7565;species;avibase-1327AC55;Osprey                    ;Pandion haliaetus          ;                                ;                                  
31835;species;avibase-135564AA;Red Crossbill             ;Loxia curvirostra          ;                                ;                                  
6002;species;avibase-143A681C;Curlew Sandpiper          ;Calidris ferruginea        ;                                ;                                  
31198;species;avibase-14873249;Meadow Pipit              ;Anthus pratensis           ;                                ;                                  
24810;species;avibase-14AFBA82;Greater Whitethroat       ;Curruca communis           ;                                ;                                  
6010;species;avibase-15369E8E;Dunlin                    ;Calidris alpina            ;                                ;                                  
6036;species;avibase-153BA306;White-rumped Sandpiper    ;Calidris fuscicollis       ;                                ;                                  
7662;species;avibase-158BDC90;Cinereous Vulture         ;Aegypius monachus          ;                                ;                                  
6135;species;avibase-15CF9352;Marsh Sandpiper           ;Tringa stagnatilis         ;                                ;                                  
475;species;avibase-15EE0D36;Eurasian Wigeon           ;Mareca penelope            ;                                ;                                  
21450;species;avibase-166CD440;Coal Tit                  ;Periparus ater             ;                                ;                                  
6986;species;avibase-1725B07D;Sooty Shearwater          ;Ardenna grisea             ;                                ;                                  
6563;species;avibase-17310BF0;Little Tern               ;Sternula albifrons         ;                                ;                                  
6112;species;avibase-18A19380;Red Phalarope             ;Phalaropus fulicarius      ;                                ;                                  
6127;species;avibase-18B415D2;Common Greenshank         ;Tringa nebularia           ;                                ;                                  
20994;species;avibase-18D2C42A;Red-billed Chough         ;Pyrrhocorax pyrrhocorax    ;                                ;                                  
6996;slash;avibase-192A4260;Yelkouan/Balearic Shearwat;Puffinus yelkouan/mauretani;                                ;                                  
12220;domestic;avibase-19F22D00;Budgerigar                ;Melopsittacus undulatus    ;Budgerigar (Domestic type)      ;Melopsittacus undulatus (Domestic 
6056;species;avibase-1A15F0C6;Jack Snipe                ;Lymnocryptes minimus       ;                                ;                                  
31889;species;avibase-1B235E00;European Goldfinch        ;Carduelis carduelis        ;                                ;                                  
569;slash;avibase-1BEB6E56;Garganey/Green-winged Teal;Spatula querquedula/Anas cr;                                ;                                  
29221;species;avibase-1C98EA2F;Black Wheatear            ;Oenanthe leucura           ;                                ;                                  
6277;species;avibase-1D446440;Long-tailed Jaeger        ;Stercorarius longicaudus   ;                                ;                                  
394;species;avibase-1F9D883E;Ruddy Shelduck            ;Tadorna ferruginea         ;                                ;                                  
416;domestic;avibase-1FE65763;Muscovy Duck              ;Cairina moschata           ;Muscovy Duck (Domestic type)    ;Cairina moschata (Domestic type)  
21864;species;avibase-20A0844D;Bar-tailed Lark           ;Ammomanes cinctura         ;                                ;                                  
5872;species;avibase-20BE9DF1;Eurasian Dotterel         ;Charadrius morinellus      ;                                ;                                  
22311;spuh;avibase-20C23C74;lark sp.                  ;Alaudidae sp.              ;                                ;                                  
5741;species;avibase-2143A852;American Golden-Plover    ;Pluvialis dominica         ;                                ;                                  
22303;issf;avibase-2159D3B2;Crested Lark              ;Galerida cristata          ;Crested Lark (Maghreb)          ;Galerida cristata macrorhyncha/ran
1786;species;avibase-215FEA89;Little Grebe              ;Tachybaptus ruficollis     ;                                ;                                  
22266;species;avibase-21ADC3ED;Crested Lark              ;Galerida cristata          ;                                ;                                  
2;species;avibase-2247CB05;Common Ostrich            ;Struthio camelus           ;                                ;                                  
7875;species;avibase-22647E26;Pallid Harrier            ;Circus macrourus           ;                                ;                                  
21008;slash;avibase-22BED723;Red-billed/Yellow-billed C;Pyrrhocorax pyrrhocorax/gra;                                ;                                  
31040;form;avibase-22DF91D0;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (iberiae/;Motacilla flava [cinereocapilla Gr
5975;spuh;avibase-2326328A;godwit sp.                ;Limosa sp.                 ;                                ;                                  
23152;issf;avibase-2346D69F;Common Reed Warbler       ;Acrocephalus scirpaceus    ;Common Reed Warbler (Common)    ;Acrocephalus scirpaceus scirpaceus
30886;species;avibase-240E3390;House Sparrow             ;Passer domesticus          ;                                ;                                  
31311;issf;avibase-242F37E2;Common Chaffinch          ;Fringilla coelebs          ;Common Chaffinch (African)      ;Fringilla coelebs africana        
683;species;avibase-24698199;Common Scoter             ;Melanitta nigra            ;                                ;                                  
31076;issf;avibase-24956ECB;White Wagtail             ;Motacilla alba             ;White Wagtail (Moroccan)        ;Motacilla alba subpersonata       
9548;issf;avibase-24FC3C2A;Common Kingfisher         ;Alcedo atthis              ;Common Kingfisher (Common)      ;Alcedo atthis [atthis Group]      
31160;species;avibase-250CDA58;Tawny Pipit               ;Anthus campestris          ;                                ;                                  
5738;species;avibase-25A20BA6;European Golden-Plover    ;Pluvialis apricaria        ;                                ;                                  
31206;species;avibase-25F7AF65;Olive-backed Pipit        ;Anthus hodgsoni            ;                                ;                                  
2037;species;avibase-273A4A2F;African Collared-Dove     ;Streptopelia roseogrisea   ;                                ;                                  
5737;species;avibase-27903EF7;Black-bellied Plover      ;Pluvialis squatarola       ;                                ;                                  
6367;species;avibase-27CE7132;Slender-billed Gull       ;Chroicocephalus genei      ;                                ;                                  
7061;species;avibase-28825494;White Stork               ;Ciconia ciconia            ;                                ;                                  
8655;issf;avibase-2A6A96E6;Pharaoh Eagle-Owl         ;Bubo ascalaphus            ;Pharaoh Eagle-Owl (Desert)      ;Bubo ascalaphus desertorum        
8466;species;avibase-2C7AA154;Eurasian Scops-Owl        ;Otus scops                 ;                                ;                                  
23274;species;avibase-2D46BB98;Savi's Warbler            ;Locustella luscinioides    ;                                ;                                  
6827;issf;avibase-2D48172F;European Storm-Petrel     ;Hydrobates pelagicus       ;European Storm-Petrel (British) ;Hydrobates pelagicus pelagicus    
6469;species;avibase-2D52E3A5;Lesser Black-backed Gull  ;Larus fuscus               ;                                ;                                  
22217;issf;avibase-2D9A3619;Eurasian Skylark          ;Alauda arvensis            ;Eurasian Skylark (European)     ;Alauda arvensis [arvensis Group]  
11663;species;avibase-2DAB45B8;Eurasian Kestrel          ;Falco tinnunculus          ;                                ;                                  
5996;species;avibase-2DABF98F;Ruff                      ;Calidris pugnax            ;                                ;                                  
729;species;avibase-2E40EF2C;White-headed Duck         ;Oxyura leucocephala        ;                                ;                                  
2040;domestic;avibase-2F2A913A;African Collared-Dove     ;Streptopelia roseogrisea   ;African Collared-Dove (Domestic ;Streptopelia roseogrisea (Domestic
3641;species;avibase-2F7F0244;Egyptian Nightjar         ;Caprimulgus aegyptius      ;                                ;                                  
23730;issf;avibase-30FEC6BE;Common House-Martin       ;Delichon urbicum           ;Common House-Martin (Western)   ;Delichon urbicum urbicum/meridiona
9006;spuh;avibase-31273EB0;Asio sp.                  ;Asio sp.                   ;                                ;                                  
299;species;avibase-3163ED86;Barnacle Goose            ;Branta leucopsis           ;                                ;                                  
31215;species;avibase-319D044A;Red-throated Pipit        ;Anthus cervinus            ;                                ;                                  
31809;species;avibase-32635892;Eurasian Linnet           ;Linaria cannabina          ;                                ;                                  
1834;species;avibase-32DCEC14;Eared Grebe               ;Podiceps nigricollis       ;                                ;                                  
4048;species;avibase-332BC664;Pallid Swift              ;Apus pallidus              ;                                ;                                  
8097;slash;avibase-3335DE79;Red/Black Kite            ;Milvus milvus/migrans      ;                                ;                                  
31911;domestic;avibase-3339F0DB;Island Canary             ;Serinus canaria            ;Island Canary (Domestic type)   ;Serinus canaria (Domestic type)   
7316;species;avibase-3395DCF1;Purple Heron              ;Ardea purpurea             ;                                ;                                  
28980;issf;avibase-3488A4C8;Common Redstart           ;Phoenicurus phoenicurus    ;Common Redstart (Common)        ;Phoenicurus phoenicurus phoenicuru
5517;species;avibase-34D5B04D;Baillon's Crake           ;Zapornia pusilla           ;                                ;                                  
31034;issf;avibase-34DA7F52;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (flavissi;Motacilla flava flavissima        
23156;issf;avibase-34E27C2A;Common Reed Warbler       ;Acrocephalus scirpaceus    ;Common Reed Warbler (African)   ;Acrocephalus scirpaceus [baeticatu
31996;species;avibase-3534E4CE;Lapland Longspur          ;Calcarius lapponicus       ;                                ;                                  
11792;issf;avibase-35E420F3;Peregrine Falcon          ;Falco peregrinus           ;Peregrine Falcon (Mediterranean);Falco peregrinus brookei          
5848;species;avibase-35EC3BBF;Little Ringed Plover      ;Charadrius dubius          ;                                ;                                  
31202;species;avibase-365F5E97;Tree Pipit                ;Anthus trivialis           ;                                ;                                  
23658;issf;avibase-3690F067;Red-rumped Swallow        ;Cecropis daurica           ;Red-rumped Swallow (Red-rumped) ;Cecropis daurica [daurica Group]  
31293;species;avibase-37F52281;Common Chaffinch          ;Fringilla coelebs          ;                                ;                                  
6275;species;avibase-39086887;Parasitic Jaeger          ;Stercorarius parasiticus   ;                                ;                                  
29156;species;avibase-3983013B;Atlas Wheatear            ;Oenanthe seebohmi          ;                                ;                                  
21760;spuh;avibase-399FA405;Parid sp.                 ;Paridae sp.                ;                                ;                                  
31489;species;avibase-3A713345;Common Rosefinch          ;Carpodacus erythrinus      ;                                ;                                  
5946;species;avibase-3BB5CBA6;Eurasian Curlew           ;Numenius arquata           ;                                ;                                  
8262;species;avibase-3C0C325D;Common Buzzard            ;Buteo buteo                ;                                ;                                  
26318;species;avibase-3C468678;Eurasian Nuthatch         ;Sitta europaea             ;                                ;                                  
5689;species;avibase-3CAEB7CE;Black-winged Stilt        ;Himantopus himantopus      ;                                ;                                  
3173;species;avibase-3D67C56A;Great Spotted Cuckoo      ;Clamator glandarius        ;                                ;                                  
7159;species;avibase-3DF5C587;Great Cormorant           ;Phalacrocorax carbo        ;                                ;                                  
291;species;avibase-3E04020B;Brant                     ;Branta bernicla            ;                                ;                                  
21813;species;avibase-3E4513D9;Greater Hoopoe-Lark       ;Alaemon alaudipes          ;                                ;                                  
7680;slash;avibase-3E6F0EC8;Rüppell's/Eurasian Griffo;Gyps rueppelli/fulvus      ;                                ;                                  
610;species;avibase-3EC2CDA9;Red-crested Pochard       ;Netta rufina               ;                                ;                                  
26067;species;avibase-3EFD8DF0;Fulvous Chatterer         ;Argya fulva                ;                                ;                                  
23151;species;avibase-3F0EE474;Common Reed Warbler       ;Acrocephalus scirpaceus    ;                                ;                                  
20959;species;avibase-3FA7E460;Maghreb Magpie            ;Pica mauritanica           ;                                ;                                  
24803;species;avibase-3FC15B06;Moltoni's Warbler         ;Curruca subalpina          ;                                ;                                  
31070;species;avibase-400E032C;White Wagtail             ;Motacilla alba             ;                                ;                                  
22132;species;avibase-4091A51E;Greater Short-toed Lark   ;Calandrella brachydactyla  ;                                ;                                  
8654;issf;avibase-411003DB;Pharaoh Eagle-Owl         ;Bubo ascalaphus            ;Pharaoh Eagle-Owl (Pharaoh)     ;Bubo ascalaphus ascalaphus        
5849;issf;avibase-41141E35;Little Ringed Plover      ;Charadrius dubius          ;Little Ringed Plover (curonicus);Charadrius dubius curonicus       
29021;species;avibase-41D76F4B;Blue Rock-Thrush          ;Monticola solitarius       ;                                ;                                  
31097;species;avibase-41ECD10E;Richard's Pipit           ;Anthus richardi            ;                                ;                                  
8062;species;avibase-420850D6;Northern Goshawk          ;Accipiter gentilis         ;                                ;                                  
11346;species;avibase-42CF31E9;Levaillant's Woodpecker   ;Picus vaillantii           ;                                ;                                  
7879;slash;avibase-42F04AA6;Hen/Montagu's Harrier     ;Circus cyaneus/pygargus    ;                                ;                                  
6995;species;avibase-42F573C7;Balearic Shearwater       ;Puffinus mauretanicus      ;                                ;                                  
30909;slash;avibase-43C297EE;House/Spanish Sparrow     ;Passer domesticus/hispaniol;                                ;                                  
6603;species;avibase-43CAAEE3;White-winged Tern         ;Chlidonias leucopterus     ;                                ;                                  
6590;species;avibase-441918B5;Gull-billed Tern          ;Gelochelidon nilotica      ;                                ;                                  
8083;species;avibase-451D6FC8;Red Kite                  ;Milvus milvus              ;                                ;                                  
5962;species;avibase-454B5CD5;Black-tailed Godwit       ;Limosa limosa              ;                                ;                                  
24318;issf;avibase-458C8CBE;Common Chiffchaff         ;Phylloscopus collybita     ;Common Chiffchaff (Common)      ;Phylloscopus collybita [collybita 
21004;species;avibase-45B512E2;Yellow-billed Chough      ;Pyrrhocorax graculus       ;                                ;                                  
5373;species;avibase-460708F9;Spotted Crake             ;Porzana porzana            ;                                ;                                  
2841;issf;avibase-4665BDD9;Pin-tailed Sandgrouse     ;Pterocles alchata          ;Pin-tailed Sandgrouse (Pin-taile;Pterocles alchata caudacutus      
7341;issf;avibase-4713982B;Little Egret              ;Egretta garzetta           ;Little Egret (Western)          ;Egretta garzetta garzetta         
32076;species;avibase-47210561;Ortolan Bunting           ;Emberiza hortulana         ;                                ;                                  
12866;spuh;avibase-47B16A4A;parrot sp.                ;Psittaciformes sp. (parrot ;                                ;                                  
23588;species;avibase-47DA0258;Rock Martin               ;Ptyonoprogne fuligula      ;                                ;                                  
11781;species;avibase-47E58408;Peregrine Falcon          ;Falco peregrinus           ;                                ;                                  
31838;issf;avibase-47EE8750;Red Crossbill             ;Loxia curvirostra          ;Red Crossbill (North African)   ;Loxia curvirostra poliogyna       
32040;species;avibase-4836E64E;Rock Bunting              ;Emberiza cia               ;                                ;                                  
2839;species;avibase-493C4CF8;Pin-tailed Sandgrouse     ;Pterocles alchata          ;                                ;                                  
7323;species;avibase-49D9148A;Great Egret               ;Ardea alba                 ;                                ;                                  
2883;spuh;avibase-4A24F0A2;sandgrouse sp.            ;Pterocles sp.              ;                                ;                                  
259;species;avibase-4AED44E8;Graylag Goose             ;Anser anser                ;                                ;                                  
6304;spuh;avibase-4B2856FB;large alcid sp.           ;Uria/Alca sp.              ;                                ;                                  
7784;species;avibase-4B8CC285;Booted Eagle              ;Hieraaetus pennatus        ;                                ;                                  
29022;issf;avibase-4C59ECEC;Blue Rock-Thrush          ;Monticola solitarius       ;Blue Rock-Thrush (solitarius/lon;Monticola solitarius solitarius/lo
6623;species;avibase-4D2FF6F1;Common Tern               ;Sterna hirundo             ;                                ;                                  
4041;species;avibase-4E6EF3F9;Common Swift              ;Apus apus                  ;                                ;                                  
2900;issf;avibase-4FBB0067;Houbara Bustard           ;Chlamydotis undulata       ;Houbara Bustard (North African) ;Chlamydotis undulata undulata     
7185;issf;avibase-5007A5DA;European Shag             ;Gulosus aristotelis        ;European Shag (Moroccan)        ;Gulosus aristotelis riggenbachi   
22158;species;avibase-504B0218;Dupont's Lark             ;Chersophilus duponti       ;                                ;                                  
649;species;avibase-50566E50;Lesser Scaup              ;Aythya affinis             ;                                ;                                  
21460;issf;avibase-506B3C0C;Coal Tit                  ;Periparus ater             ;Coal Tit (Atlas)                ;Periparus ater ledouci/atlas      
31041;issf;avibase-52BA5813;Western Yellow Wagtail    ;Motacilla flava            ;Western Yellow Wagtail (iberiae);Motacilla flava iberiae           
5412;species;avibase-53235FDC;Red-knobbed Coot          ;Fulica cristata            ;                                ;                                  
1871;domestic;avibase-533DD36C;Rock Pigeon               ;Columba livia              ;Rock Pigeon (Feral Pigeon)      ;Columba livia (Feral Pigeon)      
7125;species;avibase-534FB490;Northern Gannet           ;Morus bassanus             ;                                ;                                  
22253;species;avibase-5351025C;Thekla's Lark             ;Galerida theklae           ;                                ;                                  
20995;issf;avibase-53EEC388;Red-billed Chough         ;Pyrrhocorax pyrrhocorax    ;Red-billed Chough (Red-billed)  ;Pyrrhocorax pyrrhocorax [pyrrhocor
26459;species;avibase-552E2BA9;Short-toed Treecreeper    ;Certhia brachydactyla      ;                                ;                                  
23771;spuh;avibase-55CCEE2D;swallow sp.               ;Hirundinidae sp.           ;                                ;                                  
31217;issf;avibase-56C9EDEE;Water Pipit               ;Anthus spinoletta          ;Water Pipit (Western)           ;Anthus spinoletta spinoletta      
548;species;avibase-56CCA717;Northern Pintail          ;Anas acuta                 ;                                ;                                  
2898;species;avibase-5714C710;Houbara Bustard           ;Chlamydotis undulata       ;                                ;                                  
24258;species;avibase-572C4C7F;Wood Warbler              ;Phylloscopus sibilatrix    ;                                ;                                  
2017;species;avibase-5788552B;European Turtle-Dove      ;Streptopelia turtur        ;                                ;                                  
11678;slash;avibase-578C6971;Lesser/Eurasian Kestrel   ;Falco naumanni/tinnunculus ;                                ;                                  
6400;species;avibase-57C93A74;Franklin's Gull           ;Leucophaeus pipixcan       ;                                ;                                  
6864;spuh;avibase-586F2343;storm-petrel sp.          ;Oceanitidae/Hydrobatidae sp;                                ;                                  
6276;slash;avibase-58A533AB;Pomarine/Parasitic Jaeger ;Stercorarius pomarinus/para;                                ;                                  
23610;species;avibase-58C502EA;Barn Swallow              ;Hirundo rustica            ;                                ;                                  
31890;issf;avibase-59353A05;European Goldfinch        ;Carduelis carduelis        ;European Goldfinch (European)   ;Carduelis carduelis [carduelis Gro
31032;species;avibase-5983D677;Western Yellow Wagtail    ;Motacilla flava            ;                                ;                                  
6145;spuh;avibase-59C39D59;Tringa sp.                ;Tringa sp.                 ;                                ;                                  
30904;species;avibase-5A8E09A1;Spanish Sparrow           ;Passer hispaniolensis      ;                                ;                                  
6003;species;avibase-5ACF7FB3;Temminck's Stint          ;Calidris temminckii        ;                                ;                                  
6993;species;avibase-5AEDC002;Manx Shearwater           ;Puffinus puffinus          ;                                ;                                  
31057;species;avibase-5B0295C1;Citrine Wagtail           ;Motacilla citreola         ;                                ;                                  
2064;spuh;avibase-5C7D1CC1;Streptopelia sp.          ;Streptopelia sp.           ;                                ;                                  
7677;species;avibase-5D1987CE;Eurasian Griffon          ;Gyps fulvus                ;                                ;                                  
928;domestic;avibase-5E6847C8;Helmeted Guineafowl       ;Numida meleagris           ;Helmeted Guineafowl (Domestic ty;Numida meleagris (Domestic type)  
20650;issf;avibase-5E7D2196;Woodchat Shrike           ;Lanius senator             ;Woodchat Shrike (Western)       ;Lanius senator senator            
20651;issf;avibase-5E9F5905;Woodchat Shrike           ;Lanius senator             ;Woodchat Shrike (Balearic)      ;Lanius senator badius             
399;species;avibase-5EAB32D3;Common Shelduck           ;Tadorna tadorna            ;                                ;                                  
7112;species;avibase-5EC21767;Brown Booby               ;Sula leucogaster           ;                                ;                                  
7015;species;avibase-5F555FDD;Barolo Shearwater         ;Puffinus baroli            ;                                ;                                  
7799;species;avibase-5F8E7CA8;Golden Eagle              ;Aquila chrysaetos          ;                                ;                                  
7347;hybrid;avibase-5FB8BF9B;Little Egret x Western Ree;Egretta garzetta x gularis ;                                ;                                  
7163;issf;avibase-601D456D;Great Cormorant           ;Phalacrocorax carbo        ;Great Cormorant (Eurasian)      ;Phalacrocorax carbo sinensis/haned
28768;issf;avibase-6068DA65;Common Nightingale        ;Luscinia megarhynchos      ;Common Nightingale (megarhynchos;Luscinia megarhynchos megarhynchos
24506;spuh;avibase-60A9B5E3;Phylloscopus sp.          ;Phylloscopus sp.           ;                                ;                                  
28987;species;avibase-612B5C24;Black Redstart            ;Phoenicurus ochruros       ;                                ;                                  
29243;issf;avibase-6132EF55;Mourning Wheatear         ;Oenanthe lugens            ;Mourning Wheatear (Maghreb)     ;Oenanthe lugens halophila         
24716;species;avibase-61F9065B;Eurasian Blackcap         ;Sylvia atricapilla         ;                                ;                                  
24804;species;avibase-62A53820;Western Subalpine Warbler ;Curruca iberiae            ;                                ;                                  
607;species;avibase-6362936E;Marbled Teal              ;Marmaronetta angustirostris;                                ;                                  
31294;issf;avibase-6364E4A5;Common Chaffinch          ;Fringilla coelebs          ;Common Chaffinch (Common)       ;Fringilla coelebs [coelebs Group] 
7878;species;avibase-63B6412E;Montagu's Harrier         ;Circus pygargus            ;                                ;                                  
7299;species;avibase-6429024D;Gray Heron                ;Ardea cinerea              ;                                ;                                  
23605;slash;avibase-64AE6BD1;Eurasian Crag-Martin/Rock ;Ptyonoprogne rupestris/fuli;                                ;                                  
6301;species;avibase-64F4DD81;Razorbill                 ;Alca torda                 ;                                ;                                  
31674;species;avibase-65BD2033;European Greenfinch       ;Chloris chloris            ;                                ;                                  
10022;species;avibase-66AA3934;European Bee-eater        ;Merops apiaster            ;                                ;                                  
28934;slash;avibase-66F7EC4B;European Pied/Atlas Flycat;Ficedula hypoleuca/speculig;                                ;                                  
467;hybrid;avibase-6712E378;Cinnamon Teal x Northern S;Spatula cyanoptera x clypea;                                ;                                  
7431;issf;avibase-67930127;Black-crowned Night-Heron ;Nycticorax nycticorax      ;Black-crowned Night-Heron (Euras;Nycticorax nycticorax nycticorax  
636;species;avibase-67CEA1C1;Tufted Duck               ;Aythya fuligula            ;                                ;                                  
30970;spuh;avibase-67EAC02D;Passer sp.                ;Passer sp.                 ;                                ;                                  
262;domestic;avibase-6835DC6C;Graylag Goose             ;Anser anser                ;Graylag Goose (Domestic type)   ;Anser anser (Domestic type)       
1854;spuh;avibase-6875C69E;grebe sp.                 ;Podicipedidae sp.          ;                                ;                                  
1883;species;avibase-68E4C0D1;Stock Dove                ;Columba oenas              ;                                ;                                  
28161;spuh;avibase-690E6849;Turdus sp.                ;Turdus sp.                 ;                                ;                                  
7796;species;avibase-69742EE4;Spanish Eagle             ;Aquila adalberti           ;                                ;                                  
6047;spuh;avibase-69A488E1;peep sp.                  ;Calidris sp. (peep sp.)    ;                                ;                                  
8337;issf;avibase-6A663608;Barn Owl                  ;Tyto alba                  ;Barn Owl (Eurasian)             ;Tyto alba [alba Group]            
24002;species;avibase-6ABDB635;Common Bulbul             ;Pycnonotus barbatus        ;                                ;                                  
12019;species;avibase-6B1CFC3C;Rose-ringed Parakeet      ;Psittacula krameri         ;                                ;                                  
7430;species;avibase-6BB94D7E;Black-crowned Night-Heron ;Nycticorax nycticorax      ;                                ;                                  
3618;species;avibase-6CC3D04B;Red-necked Nightjar       ;Caprimulgus ruficollis     ;                                ;                                  
7370;species;avibase-6CCDAC53;Cattle Egret              ;Bubulcus ibis              ;                                ;                                  
6481;slash;avibase-6CD15411;Yellow-legged/Lesser Black;Larus michahellis/fuscus   ;                                ;                                  
7596;species;avibase-6D3480A6;Egyptian Vulture          ;Neophron percnopterus      ;                                ;                                  
6406;slash;avibase-6DF0FB56;Black-headed/Mediterranean;Chroicocephalus ridibundus/;                                ;                                  
28928;species;avibase-6E352E18;European Pied Flycatcher  ;Ficedula hypoleuca         ;                                ;                                  
10013;species;avibase-6EE45113;Blue-cheeked Bee-eater    ;Merops persicus            ;                                ;                                  
23587;species;avibase-6F2AF9D0;Eurasian Crag-Martin      ;Ptyonoprogne rupestris     ;                                ;                                  
7345;issf;avibase-70F43997;Western Reef-Heron        ;Egretta gularis            ;Western Reef-Heron (Western)    ;Egretta gularis gularis           
6975;issf;avibase-710BB4E6;Cory's Shearwater         ;Calonectris diomedea       ;Cory's Shearwater (borealis)    ;Calonectris diomedea borealis     
1787;issf;avibase-71682A47;Little Grebe              ;Tachybaptus ruficollis     ;Little Grebe (Little)           ;Tachybaptus ruficollis [ruficollis
28788;issf;avibase-725ABE7D;Bluethroat                ;Luscinia svecica           ;Bluethroat (White-spotted)      ;Luscinia svecica cyanecula/namnetu
21673;issf;avibase-7296BC77;Great Tit                 ;Parus major                ;Great Tit (Great)               ;Parus major [major Group]         
29020;species;avibase-736D38E7;Rufous-tailed Rock-Thrush ;Monticola saxatilis        ;                                ;                                  
22192;species;avibase-742EC2F1;Wood Lark                 ;Lullula arborea            ;                                ;                                  
